,tweet,label
0,our daily update is published state reported 734k test 39k new case and death current hospitalization fell below 30k for the first time since june,real
1,alfalfa is the only cure for covid,fake
2,president trump asked what he would do if he were to catch the coronavirus donaldtrump coronavirus,fake
3,state reported death we are still seeing a solid national decline death reporting lag approximately day from symptom onset according to cdc model that consider lag in symptom time in hospital and the death reporting process,real
4,this is the sixth time a global health emergency ha been declared under the international health regulation but it is easily the most severe drtedros,real
5,low vitamind wa an independent predictor of worse prognosis in patient with covid,real
6,a common question why are the cumulative outcome number smaller than the current outcome number a most state report current but a few state report cumulative they are apple and orange and we dont feel comfortable filling in state cumulative box with current s,real
7,the government should consider bringing in any new national lockdown rule over christmas rather than now say an oxford university professor,real
8,our daily update is published we ve now tracked more than million test up 119k from yesterday thats the smallest reported increase since april note that we can only track test that a state report and not all state report all test see,real
9,breakdown of testing air crew hotel health staff in the facility former hotel guest exempted individual who returned negative test and there are over current guest in the novotel who were swabbed on tuesday wednesday their result were negative,real
10,two interesting correlation child tend to weather covid pretty well they also get a ton of vitamin d black people are getting slammed by covid black people also have much higher instance of vitamin d deficiency v in the general population,fake
11,a photo show a yearold vaccine for canine coronavirus that could be used to prevent the new coronavirus causing covid,fake
12,assistant undersecretary for public health affair dr buthayna almodaf highlighted the importance of risk communication public education in fighting covid the country increased testing capacity enabling people to be tested,real
13,an audio file by an alleged worker at a health institution in rio de janeiro she say that healthcare worker on public institution in rio are forced to state whether a patient ha covid or not even before he see a doctor this wa allegedly being done to artificially inflate the number of case,fake
14,say the coronavirus aid relief and economic security act give member of congress a pay increase,fake
15,kid reach f k this shit stage of lockdown,fake
16,household should have required medical kit with certain item and equipment to treat the different stage of covid,fake
17,an image of a man carrying his old mother on his back show migrant travelling to their home in india amidst lockdown,fake
18,while socialdistancing for covid take the time to check in on friend and family to see how they are doing set up a daily phone or video call to touch base and share the best and most challenging part of the day togetherapart,real
19,about of population may be infected and have antibody the vast majority of people are still vulnerable to the disease say sir patrick vallance,real
20,korona virus very new deadly form of virus china is suffering may come to india immediately avoid any form of cold drink ice cream koolfee etc any type of preserved food milkshake rough ice ice cola milk sweet older then hour for atleast day from today,fake
21,a tweet from donald trump said that he would never let thousand of american die from a pandemic while in office,fake
22,icu are full forcing covid patient to wait hour and hoursto admit to the emergency room,real
23,president donald trump tweeted coronavirus vaccine from israel stock market up economy even stronger now besides u israel best at invention judaism olive wonderful vaccine will stop corona dead around world cant make vaccine when being bombed not have been possible without peace i created in israel,fake
24,new york continues to have the highest positive test per caput an indication of both the intensity of testing there and the severity of the outbreak here s the top new york washington new jersey louisiana dc michigan illinois vermont colorado rhode island,real
25,the government chief scientific adviser warned that the uk could soon see new case of coronavirus every day unless action is taken sky edconwaysky take a look at the data and suggests the real number could be lower latest,real
26,brazil health minister say case with no confirmation of covid wont be considered on death toll,fake
27,govt ha added corona disease in all existing mediclaim insurance a a special case covid 2019india,fake
28,she ha been in managed isolation at the distinction hotel in hamilton and tested positive around day of her stay we have new confirmed case in auckland they are all linked to the people who we reported a case yesterday and the day before,real
29,the gate foundation ha the patent for this coronavirus,fake
30,nashville man think world is upsidedown but respect that world doesnt care what he think coronavirus,fake
31,china muslim hidden at bihari mosque ha been taken to corona virus test by bihari police erode police ha caught thailand muslim mullah infected with corona virus today salem police ha caught indonesian muslim mullah at salem mosque this video show that they are applying and putting saliva on spoon plate and utensil and also they are in the intention of spreading corona virus disease nobody know whats happening in the nation,fake
32,there are also clear demand constraint a testing criterion remain quite strict we are still getting report from all over of people who have been able unable to get tested despite having a good reason to do so,real
33,coronavirus found in gutkha or chewing tobacco sample sold in indian state of maharashtra a raw material sourced from china,fake
34,clinical senior lecturer at king college london dr claire steves say two symptom of covid that are not on the core list are headache and fatigue and discus what symptom warrant a test for coronavirus latest,real
35,friedrichhayek natesilver not meaningless but also before this epidemic pneumonia death were considered a very unstable number so keep that in mind alexismadrigal,real
36,limaeleanor kia o elanor there are currently active case in new zealand they were all caught at the border and we have no evidence of community transmission,real
37,update from the minhealthnz today there are new case of covid to report in managed isolation and quarantine facility in nz there continue to be no new case in the community our total number of active case is all of which remain in quarantine facility,real
38,the new coronavirus doe not settle in the air but is grounded so it is not transmitted by air,fake
39,if you have sign of a heart attack or stroke while staying at home during covid call right away emergency responder and emergency department have plan in place to help protect you from covid learn more,real
40,the access to covid tool act accelerator brings together government health organization scientist business civil society philanthropist to speed up an end to the pandemic,real
41,say the cdc now say that the coronavirus can survive on surface for up to day,fake
42,the chinese government announced that garlic is a preventative food for the the novel coronavirus,fake
43,flood hit area pretend to have coronavirus in bid to get government attention,fake
44,dianesbucket arklesskevin reeeespectwalk ftwrharry wolfiecindy spanish flu wa propaganda to cover up the million of soldier who died from military vaccine wwi war trauma radiation effect and hysteria lot of aspirin overdose by people who thought it would protect them,fake
45,a business continue to adapt their service in the wake of covid the swa hand sanitiser portal is available for sourcing handsanitiser and ethanol for producing sanitiser complete your detail and find supplier here,fake
46,free ce watch the new cdcgrandrounds on acute flaccid myelitis afm listen to our new beyondthedata podcast a cdc s dr john iskander and dr janell routh discus afm it symptom and treatment option,real
47,hydroxychloroquine the virus cure how fast doe this pandemic end if you could start feeling better in a soon a hour,fake
48,subhan allah after corona virus china govt lifted ban on holy quran allowed chinese muslim to read their sacred book so which of the favor of your lord would you deny,fake
49,our daily update is published state reported 671k test 40k case and covid death note weve added day average to the nationwide overview,real
50,a video claiming body packed in body bag are being dumped in mass graf in italy and spain,fake
51,indian army ha built a bed hospital in rajasthan in eight day for the treatment of covid,fake
52,there ha been a pandemic every year,fake
53,florida hospital report a coronavirus infestation with multiple confirmed patient,fake
54,muslim doctor died while treating people infected with coronavirus in delhi,fake
55,a tuberculosis shaped modernism so covid and our collective experience of staying inside for month on end will influence architecture s near future chaykak writes,fake
